Date, Open_Nasdaq, High_Nasdaq, Low_Nasdaq, Close_Nasdaq
12/24/13,4150.64,4155.62,4147.15,4155.42
12/23/13,4136.14,4149.31,4127.72,4148.9
12/20/13,4064.89,4111.93,4064.73,4104.74
12/19/13,4059.34,4063.7,4045.41,4058.13
12/18/13,4024.67,4070.38,3979.59,4070.06
12/17/13,4028.88,4034.69,4011.58,4023.68
12/16/13,4019.37,4043,4019.14,4029.52
12/13/13,4015.53,4017.45,3992.29,4000.98
12/12/13,4004.75,4013.54,3993.57,3998.4
12/11/13,4061.67,4065.08,3998.92,4003.81
12/10/13,4061.17,4074.01,4056.49,4060.49
12/9/13,4073.75,4081.78,4063.49,4068.75
12/6/13,4069.86,4069.86,4042.35,4062.52
12/5/13,4037.99,4043.71,4025.26,4033.16
12/4/13,4020.33,4051.73,4004.76,4038
12/3/13,4038.99,4050.08,4022.12,4037.2
12/2/13,4065.66,4068.49,4040.88,4045.26
11/29/13,4057.16,4069.7,4055.45,4059.89
11/27/13,4026.92,4045.81,4023.65,4044.75
11/26/13,3996.7,4026.99,3989.49,4017.75
11/25/13,4004.37,4007.09,3987.16,3994.57
11/22/13,3977.31,3991.66,3973,3991.65
11/21/13,3938.11,3970.91,3936.82,3969.15
11/20/13,3940.98,3952.08,3911.61,3921.27
